source,target,corr,abs_corr,sign,weight,period
BBL.BK,PTTEP.BK,0.043732693907080504,0.043732693907080504,+,0.043732693907080504,Post-Crisis (2022)
BBL.BK,PTTGC.BK,0.22633202517860268,0.22633202517860268,+,0.22633202517860268,Post-Crisis (2022)
BBL.BK,SCB.BK,0.37991959037563416,0.37991959037563416,+,0.37991959037563416,Post-Crisis (2022)
BBL.BK,SCC.BK,0.296608263454951,0.296608263454951,+,0.296608263454951,Post-Crisis (2022)
BBL.BK,TRUE.BK,0.07675701008038519,0.07675701008038519,+,0.07675701008038519,Post-Crisis (2022)
BBL.BK,TSLA,0.04609473069741195,0.04609473069741195,+,0.04609473069741195,Post-Crisis (2022)
BBL.BK,UNH,0.03023612481456,0.03023612481456,+,0.03023612481456,Post-Crisis (2022)
BBL.BK,WMT,-0.04024096218934033,0.04024096218934033,-,0.04024096218934033,Post-Crisis (2022)
BBL.BK,XOM,0.028687240316324407,0.028687240316324407,+,0.028687240316324407,Post-Crisis (2022)
BDMS.BK,BTC-USD,0.09325977853859195,0.09325977853859195,+,0.09325977853859195,Post-Crisis (2022)
BDMS.BK,CPALL.BK,0.055418295205321114,0.055418295205321114,+,0.055418295205321114,Post-Crisis (2022)
BDMS.BK,CPN.BK,0.17469998931323347,0.17469998931323347,+,0.17469998931323347,Post-Crisis (2022)
BDMS.BK,CVX,0.045641815561515656,0.045641815561515656,+,0.045641815561515656,Post-Crisis (2022)
BDMS.BK,GLD,-0.053884450597451006,0.053884450597451006,-,0.053884450597451006,Post-Crisis (2022)
BDMS.BK,GOOGL,0.16284332593155895,0.16284332593155895,+,0.16284332593155895,Post-Crisis (2022)
BDMS.BK,GULF.BK,0.06448776593218776,0.06448776593218776,+,0.06448776593218776,Post-Crisis (2022)
BDMS.BK,JNJ,0.021755578513900194,0.021755578513900194,+,0.021755578513900194,Post-Crisis (2022)
BDMS.BK,JPM,0.06748369890995315,0.06748369890995315,+,0.06748369890995315,Post-Crisis (2022)
BDMS.BK,KBANK.BK,-0.013774711569821943,0.013774711569821943,-,0.013774711569821943,Post-Crisis (2022)
BDMS.BK,KTB.BK,0.04928395168358014,0.04928395168358014,+,0.04928395168358014,Post-Crisis (2022)
BDMS.BK,META,0.06507199168399877,0.06507199168399877,+,0.06507199168399877,Post-Crisis (2022)
BDMS.BK,MSFT,0.17425399008441128,0.17425399008441128,+,0.17425399008441128,Post-Crisis (2022)
BDMS.BK,NVDA,0.1639592866528801,0.1639592866528801,+,0.1639592866528801,Post-Crisis (2022)
BDMS.BK,PTT.BK,0.07019512360213871,0.07019512360213871,+,0.07019512360213871,Post-Crisis (2022)
BDMS.BK,PTTEP.BK,-0.015905646470465103,0.015905646470465103,-,0.015905646470465103,Post-Crisis (2022)
BDMS.BK,PTTGC.BK,-0.011496214452171208,0.011496214452171208,-,0.011496214452171208,Post-Crisis (2022)
BDMS.BK,SCB.BK,0.06021332295488521,0.06021332295488521,+,0.06021332295488521,Post-Crisis (2022)
BDMS.BK,SCC.BK,0.03775689239712282,0.03775689239712282,+,0.03775689239712282,Post-Crisis (2022)
BDMS.BK,TRUE.BK,0.013097897314720405,0.013097897314720405,+,0.013097897314720405,Post-Crisis (2022)
BDMS.BK,TSLA,0.1350023367455893,0.1350023367455893,+,0.1350023367455893,Post-Crisis (2022)
BDMS.BK,UNH,0.03442355913648528,0.03442355913648528,+,0.03442355913648528,Post-Crisis (2022)
BDMS.BK,WMT,0.15405221999340996,0.15405221999340996,+,0.15405221999340996,Post-Crisis (2022)
BDMS.BK,XOM,-0.031927276551479394,0.031927276551479394,-,0.031927276551479394,Post-Crisis (2022)
BTC-USD,CPALL.BK,0.09461620128226424,0.09461620128226424,+,0.09461620128226424,Post-Crisis (2022)
BTC-USD,CPN.BK,0.23049455104415278,0.23049455104415278,+,0.23049455104415278,Post-Crisis (2022)
BTC-USD,CVX,0.2846727806133646,0.2846727806133646,+,0.2846727806133646,Post-Crisis (2022)
BTC-USD,GLD,0.10746857932641121,0.10746857932641121,+,0.10746857932641121,Post-Crisis (2022)
BTC-USD,GOOGL,0.44499636486617083,0.44499636486617083,+,0.44499636486617083,Post-Crisis (2022)
BTC-USD,GULF.BK,0.16534660419694888,0.16534660419694888,+,0.16534660419694888,Post-Crisis (2022)
BTC-USD,JNJ,0.11739482144781663,0.11739482144781663,+,0.11739482144781663,Post-Crisis (2022)
BTC-USD,JPM,0.328440338136319,0.328440338136319,+,0.328440338136319,Post-Crisis (2022)
BTC-USD,KBANK.BK,0.10303751863220066,0.10303751863220066,+,0.10303751863220066,Post-Crisis (2022)
BTC-USD,KTB.BK,0.04150888467917409,0.04150888467917409,+,0.04150888467917409,Post-Crisis (2022)
BTC-USD,META,0.32699808586268697,0.32699808586268697,+,0.32699808586268697,Post-Crisis (2022)
BTC-USD,MSFT,0.5179984112050481,0.5179984112050481,+,0.5179984112050481,Post-Crisis (2022)
BTC-USD,NVDA,0.5429934718406947,0.5429934718406947,+,0.5429934718406947,Post-Crisis (2022)
BTC-USD,PTT.BK,0.27194952072965256,0.27194952072965256,+,0.27194952072965256,Post-Crisis (2022)
BTC-USD,PTTEP.BK,0.04197831079534602,0.04197831079534602,+,0.04197831079534602,Post-Crisis (2022)
BTC-USD,PTTGC.BK,0.1905128520252649,0.1905128520252649,+,0.1905128520252649,Post-Crisis (2022)
BTC-USD,SCB.BK,0.0850485829433087,0.0850485829433087,+,0.0850485829433087,Post-Crisis (2022)
BTC-USD,SCC.BK,0.15976414226532573,0.15976414226532573,+,0.15976414226532573,Post-Crisis (2022)
BTC-USD,TRUE.BK,0.11862762793545599,0.11862762793545599,+,0.11862762793545599,Post-Crisis (2022)
